testName,cluster,baseline
12aa_streamspeed-hintblocksize(512)-hintisordered(false)-hintnumstrands(6)-hintreadwork(0)-hintwritework(16),thor,43.806500
12aa_streamspeed-hintblocksize(512)-hintisordered(false)-hintnumstrands(6)-hintreadwork(0)-hintwritework(4),roxie,34.696500
12aa_streamspeed-hintblocksize(512)-hintisordered(false)-hintnumstrands(6)-hintreadwork(0)-hintwritework(4),thor,21.925000
12aa_streamspeed-hintblocksize(512)-hintisordered(false)-hintnumstrands(6)-hintreadwork(0)-hintwritework(64),roxie,22.884000
12aa_streamspeed-hintblocksize(512)-hintisordered(false)-hintnumstrands(6)-hintreadwork(0)-hintwritework(64),thor,132.704000
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(1)-hintreadwork(0)-hintwritework(16),roxie,46.034500
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(1)-hintreadwork(0)-hintwritework(16),thor,43.758500
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(1)-hintreadwork(0)-hintwritework(4),roxie,24.513000
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(1)-hintreadwork(0)-hintwritework(4),thor,21.891500
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(1)-hintreadwork(0)-hintwritework(64),roxie,133.095000
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(1)-hintreadwork(0)-hintwritework(64),thor,132.617500
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(6)-hintreadwork(0)-hintwritework(16),roxie,28.909000
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(6)-hintreadwork(0)-hintwritework(16),thor,43.855000
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(6)-hintreadwork(0)-hintwritework(4),roxie,38.232000
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(6)-hintreadwork(0)-hintwritework(4),thor,22.302000
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(6)-hintreadwork(0)-hintwritework(64),roxie,23.343500
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(6)-hintreadwork(0)-hintwritework(64),thor,132.719500
12ab_unorderedspeed-hintnewhelper(false)-hintreadwork(0)-hintwritework(0),thor,3.649000
12ab_unorderedspeed-hintnewhelper(false)-hintreadwork(0)-hintwritework(1024),thor,87.662500
12ab_unorderedspeed-hintnewhelper(false)-hintreadwork(0)-hintwritework(16),thor,4.648000
12ab_unorderedspeed-hintnewhelper(false)-hintreadwork(0)-hintwritework(256),thor,23.585000
12ab_unorderedspeed-hintnewhelper(false)-hintreadwork(0)-hintwritework(512),thor,44.864000
12ab_unorderedspeed-hintnewhelper(false)-hintreadwork(0)-hintwritework(64),thor,8.041500
12ab_unorderedspeed-hintnewhelper(true)-hintreadwork(0)-hintwritework(0),thor,3.607500
12ab_unorderedspeed-hintnewhelper(true)-hintreadwork(0)-hintwritework(1024),thor,87.659500
12ab_unorderedspeed-hintnewhelper(true)-hintreadwork(0)-hintwritework(16),thor,4.683000
12ab_unorderedspeed-hintnewhelper(true)-hintreadwork(0)-hintwritework(256),thor,23.593500
12ab_unorderedspeed-hintnewhelper(true)-hintreadwork(0)-hintwritework(512),thor,44.863500
12ab_unorderedspeed-hintnewhelper(true)-hintreadwork(0)-hintwritework(64),thor,8.125500
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(0),roxie,8.094500
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(0),thor,7.198500
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),roxie,14.954500
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,13.677000
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(256),roxie,124.410500
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(256),thor,124.551500
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(4),roxie,9.444000
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(4),thor,8.581500
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(64),roxie,36.837500
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(64),thor,35.878000
12ac_parallelproject-hintisordered(false)-hintnumstrands(8)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),roxie,12.024500
12ac_parallelproject-hintisordered(false)-hintnumstrands(8)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,11.726000
12ac_parallelproject-hintisordered(false)-hintnumstrands(8)-hintparallelcount(false)-hintparallelsource(true)-hintprojectwork(16),roxie,4.054500
12ac_parallelproject-hintisordered(false)-hintnumstrands(8)-hintparallelcount(false)-hintparallelsource(true)-hintprojectwork(16),thor,11.054000
12ac_parallelproject-hintisordered(false)-hintnumstrands(8)-hintparallelcount(true)-hintparallelsource(false)-hintprojectwork(16),roxie,12.106500
12ac_parallelproject-hintisordered(false)-hintnumstrands(8)-hintparallelcount(true)-hintparallelsource(false)-hintprojectwork(16),thor,11.133000
12ac_parallelproject-hintisordered(false)-hintnumstrands(8)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),roxie,2.502500
12ac_parallelproject-hintisordered(false)-hintnumstrands(8)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),thor,11.287000
12ac_parallelproject-hintisordered(true)-hintnumstrands(128)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),roxie,11.984500
12ac_parallelproject-hintisordered(true)-hintnumstrands(128)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,9.832000
12ac_parallelproject-hintisordered(true)-hintnumstrands(128)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),roxie,1.716500
12ac_parallelproject-hintisordered(true)-hintnumstrands(128)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),thor,9.901000
12ac_parallelproject-hintisordered(true)-hintnumstrands(16)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),roxie,12.197500
12ac_parallelproject-hintisordered(true)-hintnumstrands(16)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,11.078000
12ac_parallelproject-hintisordered(true)-hintnumstrands(16)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),roxie,1.735500
12ac_parallelproject-hintisordered(true)-hintnumstrands(16)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),thor,11.351500
12ac_parallelproject-hintisordered(true)-hintnumstrands(32)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),roxie,12.101500
12ac_parallelproject-hintisordered(true)-hintnumstrands(32)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,10.246500
12ac_parallelproject-hintisordered(true)-hintnumstrands(32)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),roxie,1.533500
12ac_parallelproject-hintisordered(true)-hintnumstrands(32)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),thor,10.709500
12ac_parallelproject-hintisordered(true)-hintnumstrands(4)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),roxie,12.210500
12ac_parallelproject-hintisordered(true)-hintnumstrands(4)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,10.883500
12ac_parallelproject-hintisordered(true)-hintnumstrands(4)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),roxie,3.813000
12ac_parallelproject-hintisordered(true)-hintnumstrands(4)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),thor,11.299500
12ac_parallelproject-hintisordered(true)-hintnumstrands(64)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),roxie,12.316000
12ac_parallelproject-hintisordered(true)-hintnumstrands(64)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,10.059000
12ac_parallelproject-hintisordered(true)-hintnumstrands(64)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),roxie,1.679000
