testName,cluster,baseline
12ac_parallelproject-hintisordered(false)-hintnumstrands(8)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),thor,19.184400
12ac_parallelproject-hintisordered(true)-hintnumstrands(128)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,19.208800
12ac_parallelproject-hintisordered(true)-hintnumstrands(128)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),thor,19.209500
12ac_parallelproject-hintisordered(true)-hintnumstrands(16)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,19.467900
12ac_parallelproject-hintisordered(true)-hintnumstrands(16)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),thor,19.523200
12ac_parallelproject-hintisordered(true)-hintnumstrands(32)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,19.283400
12ac_parallelproject-hintisordered(true)-hintnumstrands(32)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),thor,19.269700
12ac_parallelproject-hintisordered(true)-hintnumstrands(4)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,18.781000
12ac_parallelproject-hintisordered(true)-hintnumstrands(4)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),thor,18.794400
12ac_parallelproject-hintisordered(true)-hintnumstrands(64)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,19.091500
12ac_parallelproject-hintisordered(true)-hintnumstrands(64)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),thor,19.135600
12ac_parallelproject-hintisordered(true)-hintnumstrands(8)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,19.190450
12ac_parallelproject-hintisordered(true)-hintnumstrands(8)-hintparallelcount(false)-hintparallelsource(true)-hintprojectwork(16),thor,19.204500
12ac_parallelproject-hintisordered(true)-hintnumstrands(8)-hintparallelcount(true)-hintparallelsource(false)-hintprojectwork(16),thor,19.226900
12ac_parallelproject-hintisordered(true)-hintnumstrands(8)-hintparallelcount(true)-hintparallelsource(true)-hintprojectwork(16),thor,19.227750
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(1)-hintprojectwork(0),thor,3.679500
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(1)-hintprojectwork(16),thor,6.311000
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(1)-hintprojectwork(256),thor,46.151400
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(1)-hintprojectwork(4),thor,4.310200
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(1)-hintprojectwork(64),thor,14.351500
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(16)-hintprojectwork(0),thor,3.987800
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(16)-hintprojectwork(16),thor,5.801100
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(16)-hintprojectwork(256),thor,35.052600
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(16)-hintprojectwork(4),thor,4.426900
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(16)-hintprojectwork(64),thor,11.544700
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(32)-hintprojectwork(16),thor,5.760600
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(32)-hintprojectwork(256),thor,34.982600
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(32)-hintprojectwork(64),thor,11.493400
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(4)-hintprojectwork(0),thor,4.022200
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(4)-hintprojectwork(16),thor,5.795100
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(4)-hintprojectwork(256),thor,35.236800
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(4)-hintprojectwork(4),thor,4.424300
12ag_parallelgroupaggregate-hintblocksize(500)-hintisordered(false)-hintnumstrands(4)-hintprojectwork(64),thor,11.567400
13aa_splitlarge,thor,183.059600
13ab_splitvariable,thor,732.489900
13ba_usplitter_balanced-writemax(1000),thor,16.859200
13ba_usplitter_balanced-writemax(2000),thor,16.735200
13ba_usplitter_balanced-writemax(4000),thor,16.856700
